candidate_id,rank,base_score,calibration_adj,total_score,skill_alignment_group,skill_alignment_reason,high_spec_matched,per_skill_groups,skill_overlap,group_overlap,skill_contribution,group_contribution,total_skill_signal,counterfactual_base_no_skill,career_evidence,depth,has_retrieval,has_eval,trap_flags,title,company,yoe
CAND_0002025,1,0.641,0.099,0.74,A,all high-spec matched skills corroborated by career evidence,FAISS|OpenSearch|Pinecone|Recommendation Systems|Sentence Transformers|Weaviate,FAISS:A; OpenSearch:A; Pinecone:A; Recommendation Systems:A; Sentence Transformers:A; Weaviate:A,0.438,1.0,0.1138,0.16,0.2737,0.3673,1.0,4,True,True,,Senior AI Engineer,Apple,5.9
CAND_0077337,2,0.6227,0.1,0.7227,A,all high-spec matched skills corroborated by career evidence,OpenSearch|Pinecone|Qdrant|Recommendation Systems|Sentence Transformers,OpenSearch:A; Pinecone:A; Qdrant:A; Recommendation Systems:A; Sentence Transformers:A,0.375,1.0,0.0975,0.16,0.2575,0.3652,1.0,4,True,True,,Staff Machine Learning Engineer,Paytm,7.0
CAND_0041669,3,0.6033,0.099,0.7023,A,all high-spec matched skills corroborated by career evidence,FAISS|Milvus|Qdrant|Weaviate,FAISS:A; Milvus:A; Qdrant:A; Weaviate:A,0.312,1.0,0.0813,0.16,0.2413,0.362,1.0,4,True,True,,Recommendation Systems Engineer,CRED,8.0
CAND_0081846,4,0.5998,0.1,0.6998,A,all high-spec matched skills corroborated by career evidence,Elasticsearch|Qdrant|Recommendation Systems,Elasticsearch:A; Qdrant:A; Recommendation Systems:A,0.312,1.0,0.0813,0.16,0.2413,0.3585,1.0,4,True,True,,Lead AI Engineer,Razorpay,6.7
CAND_0010257,5,0.5997,0.095,0.6947,B,some evidence present but not all skills fully corroborated,Milvus|OpenSearch|Qdrant|Recommendation Systems,Milvus:B; OpenSearch:B; Qdrant:B; Recommendation Systems:A,0.375,1.0,0.0975,0.16,0.2575,0.3422,0.8,4,True,True,,Senior Data Scientist,Google,6.5
CAND_0033861,6,0.5993,0.098,0.6973,A,all high-spec matched skills corroborated by career evidence,Elasticsearch|Milvus|Pinecone|Qdrant|Sentence Transformers|Weaviate,Elasticsearch:A; Milvus:A; Pinecone:A; Qdrant:A; Sentence Transformers:A; Weaviate:A,0.438,0.667,0.1138,0.1067,0.2204,0.3789,1.0,4,True,True,,Senior NLP Engineer,Mad Street Den,8.0
CAND_0008425,7,0.5905,0.1,0.6905,A,all high-spec matched skills corroborated by career evidence,Qdrant|Recommendation Systems|Sentence Transformers,Qdrant:A; Recommendation Systems:A; Sentence Transformers:A,0.25,1.0,0.065,0.16,0.225,0.3655,1.0,4,True,True,,Senior NLP Engineer,Ola,7.8
CAND_0051630,8,0.6048,0.077,0.6818,B,some evidence present but not all skills fully corroborated,Elasticsearch|OpenSearch|Recommendation Systems|Sentence Transformers,Elasticsearch:B; OpenSearch:B; Recommendation Systems:B; Sentence Transformers:B,0.375,1.0,0.0975,0.16,0.2575,0.3473,1.0,3,True,False,,Machine Learning Engineer,Razorpay,6.0
CAND_0079387,9,0.5848,0.1,0.6848,B,some evidence present but not all skills fully corroborated,OpenSearch|Recommendation Systems|Sentence Transformers,OpenSearch:B; Recommendation Systems:A; Sentence Transformers:B,0.25,1.0,0.065,0.16,0.225,0.3598,1.0,4,True,True,,AI Engineer,Microsoft,6.9
CAND_0020877,10,0.6,0.078,0.678,B,some evidence present but not all skills fully corroborated,Elasticsearch|Milvus|OpenSearch|Qdrant|Weaviate,Elasticsearch:B; Milvus:B; OpenSearch:B; Qdrant:B; Weaviate:B,0.312,1.0,0.0813,0.16,0.2413,0.3587,1.0,4,True,True,,Applied ML Engineer,CRED,5.1
CAND_0050876,11,0.5864,0.09,0.6764,A,all high-spec matched skills corroborated by career evidence,FAISS|OpenSearch|Qdrant|Sentence Transformers,FAISS:A; OpenSearch:A; Qdrant:A; Sentence Transformers:A,0.375,1.0,0.0975,0.16,0.2575,0.3289,0.8,4,True,True,,Applied ML Engineer,Freshworks,6.0
CAND_0074225,12,0.5875,0.086,0.6735,A,all high-spec matched skills corroborated by career evidence,Elasticsearch|Milvus|Qdrant|Recommendation Systems,Elasticsearch:A; Milvus:A; Qdrant:A; Recommendation Systems:A,0.375,1.0,0.0975,0.16,0.2575,0.33,1.0,4,True,True,,Machine Learning Engineer,Unacademy,4.3
CAND_0041568,13,0.5772,0.096,0.6732,A,all high-spec matched skills corroborated by career evidence,Pinecone|Qdrant|Recommendation Systems|Weaviate,Pinecone:A; Qdrant:A; Recommendation Systems:A; Weaviate:A,0.25,1.0,0.065,0.16,0.225,0.3522,1.0,4,True,True,,Search Engineer,Haptik,5.2
CAND_0080766,14,0.5724,0.097,0.6694,A,all high-spec matched skills corroborated by career evidence,Elasticsearch|Milvus|OpenSearch,Elasticsearch:A; Milvus:A; OpenSearch:A,0.25,1.0,0.065,0.16,0.225,0.3474,0.8,4,True,True,,Staff Machine Learning Engineer,Salesforce,8.8
CAND_0071974,15,0.5708,0.1,0.6708,A,all high-spec matched skills corroborated by career evidence,Elasticsearch|Pinecone|Qdrant|Sentence Transformers|Weaviate,Elasticsearch:A; Pinecone:A; Qdrant:A; Sentence Transformers:A; Weaviate:A,0.375,0.667,0.0975,0.1067,0.2042,0.3666,1.0,4,True,True,,Senior AI Engineer,Netflix,7.8
CAND_0042029,16,0.5739,0.095,0.6689,A,all high-spec matched skills corroborated by career evidence,Elasticsearch|OpenSearch|Weaviate,Elasticsearch:A; OpenSearch:A; Weaviate:A,0.188,1.0,0.0488,0.16,0.2087,0.3652,1.0,4,True,True,,Senior Data Scientist,Flipkart,6.5
CAND_0030953,17,0.5722,0.1,0.6722,A,all high-spec matched skills corroborated by career evidence,Qdrant|Weaviate,Qdrant:A; Weaviate:A,0.188,1.0,0.0488,0.16,0.2087,0.3635,1.0,4,True,True,,Search Engineer,Nykaa,7.8
CAND_0083307,18,0.5768,0.092,0.6688,B,some evidence present but not all skills fully corroborated,Pinecone|Weaviate,Pinecone:B; Weaviate:B,0.188,1.0,0.0488,0.16,0.2087,0.3681,1.0,4,True,True,,Search Engineer,CRED,7.8
CAND_0081686,19,0.5729,0.098,0.6709,A,all high-spec matched skills corroborated by career evidence,FAISS|Milvus,FAISS:A; Milvus:A,0.25,1.0,0.065,0.16,0.225,0.3479,1.0,4,True,True,,Search Engineer,Netflix,6.0
CAND_0064326,20,0.57,0.1,0.67,A,all high-spec matched skills corroborated by career evidence,Milvus|Weaviate,Milvus:A; Weaviate:A,0.188,1.0,0.0488,0.16,0.2087,0.3613,1.0,4,True,True,,Search Engineer,Sarvam AI,7.6
CAND_0096172,21,0.5822,0.084,0.6662,A,all high-spec matched skills corroborated by career evidence,Elasticsearch|OpenSearch|Qdrant|Sentence Transformers,Elasticsearch:A; OpenSearch:A; Qdrant:A; Sentence Transformers:A,0.312,1.0,0.0813,0.16,0.2413,0.3409,1.0,4,True,True,,NLP Engineer,Krutrim,5.2
CAND_0043228,22,0.5758,0.091,0.6668,B,some evidence present but not all skills fully corroborated,OpenSearch|Sentence Transformers|Weaviate,OpenSearch:B; Sentence Transformers:B; Weaviate:B,0.25,1.0,0.065,0.16,0.225,0.3508,1.0,3,True,False,,Applied ML Engineer,Zoho,6.8
CAND_0007412,23,0.5698,0.1,0.6698,A,all high-spec matched skills corroborated by career evidence,Milvus|Pinecone|Recommendation Systems,Milvus:A; Pinecone:A; Recommendation Systems:A,0.188,1.0,0.0488,0.16,0.2087,0.3611,1.0,4,True,True,,Applied ML Engineer,Zoho,7.4
CAND_0017960,24,0.5664,0.096,0.6624,A,all high-spec matched skills corroborated by career evidence,Qdrant,Qdrant:A,0.188,1.0,0.0488,0.16,0.2087,0.3577,1.0,4,True,True,,Recommendation Systems Engineer,Nykaa,7.7
CAND_0069905,25,0.5722,0.079,0.6512,B,some evidence present but not all skills fully corroborated,Recommendation Systems|Sentence Transformers|Weaviate,Recommendation Systems:B; Sentence Transformers:B; Weaviate:B,0.25,1.0,0.065,0.16,0.225,0.3472,1.0,4,True,True,,Applied ML Engineer,Sarvam AI,6.6
CAND_0044222,26,0.5642,0.088,0.6522,A,all high-spec matched skills corroborated by career evidence,OpenSearch|Qdrant|Weaviate,OpenSearch:A; Qdrant:A; Weaviate:A,0.188,1.0,0.0488,0.16,0.2087,0.3555,1.0,4,True,True,,AI Engineer,PolicyBazaar,7.7
CAND_0088025,27,0.5652,0.088,0.6532,B,some evidence present but not all skills fully corroborated,Elasticsearch|Pinecone,Elasticsearch:B; Pinecone:B,0.188,1.0,0.0488,0.16,0.2087,0.3565,1.0,4,True,True,,Staff Machine Learning Engineer,Yellow.ai,8.6
CAND_0070398,28,0.5617,0.089,0.6507,A,all high-spec matched skills corroborated by career evidence,FAISS|Recommendation Systems,FAISS:A; Recommendation Systems:A,0.188,1.0,0.0488,0.16,0.2087,0.353,1.0,4,True,True,,Machine Learning Engineer,Genpact AI,7.2
CAND_0027691,29,0.5588,0.091,0.6498,B,some evidence present but not all skills fully corroborated,Recommendation Systems|Weaviate,Recommendation Systems:A; Weaviate:B,0.188,1.0,0.0488,0.16,0.2087,0.3501,1.0,3,True,False,,NLP Engineer,Haptik,6.5
CAND_0075574,30,0.5505,0.1,0.6505,A,all high-spec matched skills corroborated by career evidence,Elasticsearch|OpenSearch|Qdrant|Recommendation Systems|Weaviate,Elasticsearch:A; OpenSearch:A; Qdrant:A; Recommendation Systems:A; Weaviate:A,0.312,0.667,0.0813,0.1067,0.1879,0.3626,1.0,4,True,True,,Machine Learning Engineer,Haptik,5.7
CAND_0009691,31,0.5638,0.078,0.6418,A,all high-spec matched skills corroborated by career evidence,FAISS|Pinecone|Qdrant|Recommendation Systems|Sentence Transformers,FAISS:A; Pinecone:A; Qdrant:A; Recommendation Systems:A; Sentence Transformers:A,0.312,1.0,0.0813,0.16,0.2413,0.3225,0.8,4,True,True,,Applied ML Engineer,LinkedIn,6.2
CAND_0095528,32,0.5521,0.092,0.6441,B,some evidence present but not all skills fully corroborated,Elasticsearch|OpenSearch|Qdrant,Elasticsearch:B; OpenSearch:B; Qdrant:B,0.25,1.0,0.065,0.16,0.225,0.3271,0.8,4,True,True,,Senior Data Scientist,Netflix,5.3
CAND_0052328,33,0.5575,0.083,0.6405,C,unsupported skill(s): ['Recommendation Systems'],OpenSearch|Recommendation Systems|Sentence Transformers,OpenSearch:B; Recommendation Systems:C; Sentence Transformers:B,0.25,1.0,0.065,0.16,0.225,0.3325,0.8,3,True,True,,Recommendation Systems Engineer,Amazon,6.5
CAND_0079064,34,0.5616,0.077,0.6386,B,some evidence present but not all skills fully corroborated,OpenSearch|Pinecone|Recommendation Systems,OpenSearch:B; Pinecone:B; Recommendation Systems:B,0.188,1.0,0.0488,0.16,0.2087,0.3529,1.0,4,True,True,,Senior Data Scientist,Niramai,5.2
CAND_0037944,35,0.553,0.086,0.639,A,all high-spec matched skills corroborated by career evidence,OpenSearch|Sentence Transformers,OpenSearch:A; Sentence Transformers:A,0.25,1.0,0.065,0.16,0.225,0.328,1.0,4,True,True,,Senior Data Scientist,Vedantu,4.9
CAND_0030031,36,0.5481,0.095,0.6431,B,some evidence present but not all skills fully corroborated,Milvus|Sentence Transformers,Milvus:B; Sentence Transformers:B,0.188,1.0,0.0488,0.16,0.2087,0.3394,0.8,4,True,True,,AI Engineer,Microsoft,5.7
CAND_0005260,37,0.5424,0.1,0.6424,B,no high-specificity skills matched JD; signal from generic skills only,,,0.062,1.0,0.0163,0.16,0.1763,0.3661,1.0,4,True,True,,Senior NLP Engineer,Netflix,5.2
CAND_0018499,38,0.5355,0.1,0.6355,A,all high-spec matched skills corroborated by career evidence,Milvus|Pinecone|Recommendation Systems|Weaviate,Milvus:A; Pinecone:A; Recommendation Systems:A; Weaviate:A,0.25,0.667,0.065,0.1067,0.1717,0.3638,1.0,4,True,True,,Senior Machine Learning Engineer,Zomato,7.2
CAND_0046064,39,0.5361,0.1,0.6361,A,all high-spec matched skills corroborated by career evidence,Elasticsearch|OpenSearch|Pinecone,Elasticsearch:A; OpenSearch:A; Pinecone:A,0.25,0.667,0.065,0.1067,0.1717,0.3644,1.0,4,True,True,,Senior NLP Engineer,Salesforce,8.9
CAND_0010685,40,0.5388,0.095,0.6338,B,some evidence present but not all skills fully corroborated,Elasticsearch,Elasticsearch:B,0.062,1.0,0.0163,0.16,0.1763,0.3625,1.0,4,True,True,,NLP Engineer,Rephrase.ai,6.7
CAND_0096142,41,0.5418,0.092,0.6338,A,all high-spec matched skills corroborated by career evidence,Pinecone|Weaviate,Pinecone:A; Weaviate:A,0.188,1.0,0.0488,0.16,0.2087,0.3331,0.8,4,True,True,,Applied ML Engineer,upGrad,5.0
CAND_0018722,42,0.5469,0.082,0.6289,B,some evidence present but not all skills fully corroborated,Recommendation Systems|Weaviate,Recommendation Systems:B; Weaviate:B,0.188,1.0,0.0488,0.16,0.2087,0.3382,1.0,3,True,False,,Recommendation Systems Engineer,Saarthi.ai,6.6
CAND_0077285,43,0.5341,0.1,0.6341,B,some evidence present but not all skills fully corroborated,FAISS|Milvus|Pinecone|Sentence Transformers,FAISS:B; Milvus:B; Pinecone:B; Sentence Transformers:B,0.25,0.667,0.065,0.1067,0.1717,0.3624,1.0,4,True,True,,Recommendation Systems Engineer,Nykaa,5.5
CAND_0086022,44,0.5309,0.1,0.6309,A,all high-spec matched skills corroborated by career evidence,Elasticsearch|Pinecone|Recommendation Systems|Sentence Transformers,Elasticsearch:A; Pinecone:A; Recommendation Systems:A; Sentence Transformers:A,0.25,0.667,0.065,0.1067,0.1717,0.3592,1.0,4,True,True,,Senior Applied Scientist,Sarvam AI,5.3
CAND_0068811,45,0.5344,0.095,0.6294,B,some evidence present but not all skills fully corroborated,OpenSearch|Pinecone|Qdrant|Weaviate,OpenSearch:B; Pinecone:B; Qdrant:B; Weaviate:B,0.25,0.667,0.065,0.1067,0.1717,0.3627,1.0,4,True,True,,Applied ML Engineer,Freshworks,8.0
CAND_0052682,46,0.5405,0.087,0.6275,A,all high-spec matched skills corroborated by career evidence,FAISS,FAISS:A,0.125,1.0,0.0325,0.16,0.1925,0.348,1.0,4,True,True,,NLP Engineer,Aganitha,6.6
CAND_0060072,47,0.5442,0.085,0.6292,A,all high-spec matched skills corroborated by career evidence,Milvus|Pinecone|Qdrant|Recommendation Systems|Sentence Transformers,Milvus:A; Pinecone:A; Qdrant:A; Recommendation Systems:A; Sentence Transformers:A,0.375,0.667,0.0975,0.1067,0.2042,0.34,0.8,4,True,True,,Staff Machine Learning Engineer,Amazon,5.7
CAND_0094056,48,0.5518,0.073,0.6248,B,some evidence present but not all skills fully corroborated,Milvus|Pinecone|Sentence Transformers,Milvus:B; Pinecone:B; Sentence Transformers:B,0.25,1.0,0.065,0.16,0.225,0.3268,0.8,3,True,False,,NLP Engineer,Rephrase.ai,5.9
